"id","red_lamp","green_lamp","buzzer","timestamp"
"1","true",\N,\N,"2024-02-28 14:48:34"
"2",\N,"false",\N,"2024-02-28 14:48:34"
"3",\N,\N,"false","2024-02-28 14:48:34"
"4","true",\N,\N,"2024-02-28 14:48:35"
"5",\N,"false",\N,"2024-02-28 14:48:35"
"6",\N,\N,"false","2024-02-28 14:48:35"
"7","true",\N,\N,"2024-02-28 14:48:36"
"8",\N,\N,"false","2024-02-28 14:48:36"
"9",\N,"false",\N,"2024-02-28 14:48:36"
"10","true",\N,\N,"2024-02-28 14:48:37"
"11",\N,"false",\N,"2024-02-28 14:48:37"
"12",\N,\N,"false","2024-02-28 14:48:37"
"13","true",\N,\N,"2024-02-28 14:48:38"
"14",\N,"false",\N,"2024-02-28 14:48:38"
"15",\N,\N,"false","2024-02-28 14:48:38"
"16","true",\N,\N,"2024-02-28 14:48:39"
"17",\N,"false",\N,"2024-02-28 14:48:39"
"18",\N,\N,"false","2024-02-28 14:48:39"
"19","true",\N,\N,"2024-02-28 14:48:40"
"20",\N,"false",\N,"2024-02-28 14:48:40"
"21",\N,\N,"false","2024-02-28 14:48:40"
"22","false",\N,\N,"2024-02-28 14:48:41"
"23",\N,"false",\N,"2024-02-28 14:48:41"
"24",\N,\N,"false","2024-02-28 14:48:41"
"25",\N,"true",\N,"2024-02-28 14:48:42"
"26","false",\N,\N,"2024-02-28 14:48:42"
"27",\N,\N,"true","2024-02-28 14:48:42"
"28","false",\N,\N,"2024-02-28 14:48:43"
"29",\N,"false",\N,"2024-02-28 14:48:43"
"30",\N,\N,"false","2024-02-28 14:48:43"
"31","false",\N,\N,"2024-02-28 14:48:44"
"32",\N,"true",\N,"2024-02-28 14:48:44"
"33",\N,\N,"true","2024-02-28 14:48:44"
"34","false",\N,\N,"2024-02-28 14:48:45"
"35",\N,"true",\N,"2024-02-28 14:48:45"
"36",\N,\N,"true","2024-02-28 14:48:45"
"37",\N,"false",\N,"2024-02-28 14:48:46"
"38","false",\N,\N,"2024-02-28 14:48:46"
"39",\N,\N,"false","2024-02-28 14:48:46"
"40","false",\N,\N,"2024-02-28 14:48:47"
"41",\N,"true",\N,"2024-02-28 14:48:47"
"42",\N,\N,"true","2024-02-28 14:48:47"
"43",\N,"false",\N,"2024-02-28 14:48:48"
"44","false",\N,\N,"2024-02-28 14:48:48"
"45",\N,\N,"false","2024-02-28 14:48:48"
"46","false",\N,\N,"2024-02-28 14:48:49"
"47",\N,"true",\N,"2024-02-28 14:48:49"
"48",\N,\N,"true","2024-02-28 14:48:49"
"49",\N,"false",\N,"2024-02-28 14:48:50"
"50","true",\N,\N,"2024-02-28 14:48:50"
"51",\N,\N,"false","2024-02-28 14:48:50"
"52","true",\N,\N,"2024-02-28 14:48:51"
"53",\N,"false",\N,"2024-02-28 14:48:51"
"54",\N,\N,"false","2024-02-28 14:48:51"
"55","true",\N,\N,"2024-02-28 14:48:52"
"56",\N,"false",\N,"2024-02-28 14:48:52"
"57",\N,\N,"false","2024-02-28 14:48:52"
"58","true",\N,\N,"2024-02-28 14:48:53"
"59",\N,"false",\N,"2024-02-28 14:48:53"
"60",\N,\N,"false","2024-02-28 14:48:53"
"61","true",\N,\N,"2024-02-28 14:48:54"
"62",\N,"false",\N,"2024-02-28 14:48:54"
"63",\N,\N,"false","2024-02-28 14:48:54"
"64","true",\N,\N,"2024-02-28 14:48:55"
"65",\N,"false",\N,"2024-02-28 14:48:55"
"66",\N,\N,"false","2024-02-28 14:48:55"
"67","true",\N,\N,"2024-02-28 14:48:56"
"68",\N,"false",\N,"2024-02-28 14:48:56"
"69",\N,\N,"false","2024-02-28 14:48:56"
"70",\N,"false",\N,"2024-02-28 14:48:57"
"71","true",\N,\N,"2024-02-28 14:48:57"
"72",\N,\N,"false","2024-02-28 14:48:57"
